AverageTemperature,AverageTemperatureUncertainty,City,Year,Month,Day
24.679,0.842,Acapulco,1882,3,1
24.902,0.743,Acapulco,1882,4,1
25.431,0.873,Acapulco,1882,5,1
26.862,0.998,Acapulco,1882,6,1
27.226,0.712,Acapulco,1882,7,1
26.557,0.914,Acapulco,1882,8,1
26.607,0.812,Acapulco,1882,9,1
26.721,0.642,Acapulco,1882,10,1
25.527,1.102,Acapulco,1882,11,1
24.461,0.921,Acapulco,1882,12,1
23.9,0.799,Acapulco,1883,1,1
23.475,1.175,Acapulco,1883,2,1
23.118,1.02,Acapulco,1883,3,1
24.388,0.79,Acapulco,1883,4,1
25.202,0.831,Acapulco,1883,5,1
26.69,0.8,Acapulco,1883,6,1
26.8,0.882,Acapulco,1883,7,1
26.617,0.868,Acapulco,1883,8,1
26.331,0.706,Acapulco,1883,9,1
26.6,0.906,Acapulco,1883,10,1
26.118,0.823,Acapulco,1883,11,1
25.027,1.152,Acapulco,1883,12,1
23.614,1.101,Acapulco,1884,1,1
23.356,1.263,Acapulco,1884,2,1
23.919,1.059,Acapulco,1884,3,1
24.378,0.984,Acapulco,1884,4,1
24.397,2.37,Acapulco,1884,5,1
27.363,0.888,Acapulco,1884,6,1
27.004,0.658,Acapulco,1884,7,1
26.539,0.798,Acapulco,1884,8,1
26.664,0.957,Acapulco,1884,9,1
26.164,0.874,Acapulco,1884,10,1
25.838,0.864,Acapulco,1884,11,1
25.245,1.124,Acapulco,1884,12,1
24.303,1.002,Acapulco,1885,1,1
23.785,1.197,Acapulco,1885,2,1
24.357,1.05,Acapulco,1885,3,1
23.853,1.707,Acapulco,1885,4,1
25.606,1.082,Acapulco,1885,5,1
27.231,0.85,Acapulco,1885,6,1
27.113,0.747,Acapulco,1885,7,1
26.814,0.918,Acapulco,1885,8,1
26.808,1.37,Acapulco,1885,9,1
26.4,0.91,Acapulco,1885,10,1
26.06,0.938,Acapulco,1885,11,1
25.404,1.76,Acapulco,1885,12,1
24.253,1.162,Acapulco,1886,1,1
23.399,1.547,Acapulco,1886,2,1
24.98,0.828,Acapulco,1886,3,1
24.71,0.785,Acapulco,1886,4,1
26.259,1.16,Acapulco,1886,5,1
27.115,0.812,Acapulco,1886,6,1
27.524,0.822,Acapulco,1886,7,1
27.24,0.671,Acapulco,1886,8,1
26.688,0.658,Acapulco,1886,9,1
26.39,0.842,Acapulco,1886,10,1
25.584,1.201,Acapulco,1886,11,1
24.364,1.143,Acapulco,1886,12,1
